contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
9,27,200,553,128455,42,2,3,195,27,58734211.5,58734211.5,8993734.881,8993734.881,127587.09,1498813.91,273023.0,1538956800.0
15,51,168,1849,33308,31,6,28,1972,157,58671746.83,58671746.83,45611331.16,45611331.16,100978.47,225635.97,58153.5,1548633600.0
54,39,210,800,186866,16,2,12,2042,20,58331165.5,58331165.5,36857400.31,36857400.31,575148.27,127784.9,336441.1,1416441600.0
13,34,61,788,89749,31,2,15,2067,12,58263070.0,58263070.0,36611838.06,36611838.06,341913.22,1067129.23,499374.8333,1426636800.0
46,67,151,1470,11748,81,8,14,5010,21,58109350.88,58109350.88,18704467.36,18704467.36,70645.32,1733301.58,375461.1905,1393286400.0
61,136,828,4984,36776,289,9,39,1108,54,57754644.11,57754644.11,1159429.83,10091261.18,33798.72,950413.4,135961.7963,1503187200.0
57,68,148,1663,97078,657,12,42,6978,117,57544317.25,57544317.25,26122495.22,3283259.68,34439.84,387986.5,63071.15,1357689600.0
52,30,92,453,64063,205,18,9,7701,75,57295027.11,57295027.11,27513664.06,14257921.63,8863.86,197316.64,95907.04,1423008000.0
196,304,1165,16083,15705,495,20,55,2559,279,57238365.75,57238365.75,3550272.54,6395577.97,3286.05,831271.36,12944.94,1506297600.0
18,74,126,1604,135131,113,3,3,5852,97,57195769.33,57195769.33,15965734.7,6913976.33,37433.59,319891.54,80314.58763,1521676800.0
31,123,563,4864,18477,175,8,8,1006,294,56739424.13,56739424.13,37064936.53,928570.39,178431.2,199623.13,9446.2,1332201600.0
64,50,205,462,60907,196,6,20,7152,238,56692533.33,56692533.33,26858345.82,1074071.78,51814.04,152290.22,44058.76,1485388800.0
52,65,99,524,122073,242,18,85,3956,110,56672499.72,56672499.72,26226113.39,4545441.02,36923.93,181171.35,58899.04,1404604800.0
54,81,218,1029,107808,135,19,2,10648,106,56465984.79,56465984.79,23793778.86,21627478.95,11627.61,1288449.22,77033.09,1443225600.0
16,51,119,1109,118653,36,4,9,590,37,56362842.75,56362842.75,36183455.28,36183455.28,208210.56,1427477.98,214840.4054,1473206400.0
108,34,296,396,190787,120,19,61,14006,293,56315491.21,56315491.21,23418687.48,3704992.63,85657.29,86630.98,39052.18,1367971200.0
120,98,378,2243,15819,322,40,12,4076,92,56104840.6,56104840.6,37002076.04,3240035.3,69449.32,1846901.92,81595.53261,1328140800.0
81,110,540,2920,313326,371,41,6,3662,183,55756182.02,55756182.02,22348702.41,11668530.45,65459.8,194314.61,41551.38,1370217600.0
47,159,349,2383,288951,185,25,1,1694,12,55472901.04,55472901.04,22023325.58,13376337.7,175588.78,231831.6,491580.4167,1291766400.0
170,381,1919,18019,715584,138,19,210,6706,273,55431961.21,55431961.21,4037118.08,1545234.78,6391.95,73329.88,1491.28,1533254400.0
27,18,85,417,81768,41,2,9,2114,37,55318447.0,55318447.0,13714911.95,13714911.95,208280.92,838325.54,184566.9189,1551484800.0
152,96,683,2789,92722,36,16,14,2303,283,55211223.0,55211223.0,65180440.64,65180440.64,205624.13,134874.8,5746.98,1412640000.0
27,66,126,1027,33203,434,2,10,3957,29,55172781.0,55172781.0,0.2,3153805.54,17557.56,639802.63,262405.3103,1426896000.0
34,32,108,490,17701,19,20,12,5050,104,54682110.45,54682110.45,46048100.95,46048100.95,82196.45,79501.04,61465.81,1322438400.0
20,26,64,558,44973,170,9,11,2444,87,54245126.11,54245126.11,10689271.58,19008529.06,138460.84,105201.9,81593.16092,1479168000.0
60,80,437,2745,108890,170,52,27,1625,287,54233079.04,54233079.04,19113505.07,2475924.33,152935.36,309569.15,14396.08,1549238400.0
13,30,93,297,32273,21,1,61,3361,9,54161851.0,54161851.0,40486797.67,40486797.67,120771.45,1244896.53,819668.7778,1381795200.0
24,534,3051,12395,123624,52,3,2,210,158,54007290.33,54007290.33,70956551.27,70956551.27,1312799.98,1748768.6,52107.11,1421712000.0
41,60,191,849,97371,19,12,18,1447,152,53662970.83,53662970.83,9571650.368,9571650.368,203531.26,375913.83,44059.56,1515542400.0
45,45,118,925,300307,192,2,56,7430,150,53629990.5,53629990.5,7590943.21,8141738.04,135743.17,123017.26,57246.97,1427500800.0
117,181,896,1325,29524,146,24,13,2118,33,53550138.42,53550138.42,6556508.5,6934696.06,95050.45,1454105.87,232183.4545,1390348800.0
63,130,178,1791,40913,68,2,39,2912,94,53415536.5,53415536.5,57491869.29,57491869.29,17552.35,511481.51,81507.15957,1463270400.0
107,166,1042,5872,53064,110,73,55,633,280,53214704.48,53214704.48,38269073.78,5673520.18,1548143.22,204023.71,2789.28,1473206400.0
33,27,159,939,10731,22,10,32,327,55,52893870.9,52893870.9,110910626.6,110910626.6,71805.34,1505875.15,142372.5455,1505952000.0
49,25,121,1708,15419,41,4,2,2026,293,52808437.0,52808437.0,31455808.66,31455808.66,387683.49,218659.03,16394.53,1438646400.0
502,205,2039,25855,325573,287,72,45,53392,257,52686620.99,52686620.99,22049185.04,461135.25,23960.26,1940.85,793.71,1529971200.0
18,17,282,621,74714,55,1,4,147,20,52496830.0,52496830.0,5242925.891,5242925.891,328507.97,892312.3,270820.6,1533254400.0
14,123,178,1680,72460,16,2,17,290,20,52412031.5,52412031.5,143219002.9,143219002.9,104221.97,1352051.22,354157.75,1418169600.0
24,45,102,668,51834,14,14,20,3539,23,52363719.07,52363719.07,40778959.0,40778959.0,10497.62,1079696.97,239567.7391,1449532800.0
12,17,61,413,131644,15,1,98,1218,67,52341792.0,52341792.0,111716528.9,111716528.9,1104530.61,335235.59,112599.9104,1331424000.0
8,21,133,522,10374,12,1,2,164,32,52188333.0,52188333.0,38593305.67,38593305.67,798910.32,2151450.85,248227.9375,1466467200.0
69,43,145,1038,1816452,159,7,7,6524,102,51835633.86,51835633.86,12059158.37,3945876.91,11514.5,330319.16,68822.78,1458345600.0
57,26,125,430,65121,15,10,19,8282,72,51759776.1,51759776.1,22400020.13,22400020.13,99363.85,106331.99,103887.6944,1488672000.0
29,23,58,421,22608,53,15,14,4170,47,51739379.67,51739379.67,55778734.09,55778734.09,27151.27,238831.89,166350.383,1564358400.0
99,79,261,2313,14085,144,14,60,3014,130,51193474.5,51193474.5,33635098.83,7622774.63,246390.81,243679.14,69649.41,1283990400.0
224,105,699,4617,120331,727,70,57,14099,297,51019712.26,51019712.26,9223833.87,1328445.48,15527.74,217696.24,7174.89,1453161600.0
50,20,111,2513,22974,177,9,36,4816,250,50993651.0,50993651.0,24003916.82,2900655.5,17766.81,61017.58,13399.11,1565740800.0
38,32,161,688,154373,159,10,29,2636,57,50920603.1,50920603.1,16256380.08,18662307.75,90294.59,698015.66,136963.9474,1355961600.0
12,23,50,699,11050,19,3,23,2830,3,50913826.0,50913826.0,65247086.0,65247086.0,75226.57,399205.16,269313.6667,1516233600.0
58,122,786,1821,87374,249,10,1,1462,45,50607580.5,50607580.5,8176387.43,3468955.3,430445.45,1053085.48,154683.6667,1308700800.0
334,31,151,656,252044,60,1,7,6080,130,50502592.0,50502592.0,22519487.67,22519487.67,253211.34,641130.54,56701.94,1446595200.0
33,41,62,680,30418,26,2,3,6110,51,50452567.5,50452567.5,11410153.62,11410153.62,51496.29,96098.15,146571.6863,1536796800.0
88,44,376,1868,55113,94,5,38,3109,295,50123329.8,50123329.8,9450480.362,9450480.362,104497.5,197883.34,19256.3,1564099200.0
36,13,96,717,19412,20,5,31,611,152,50043029.6,50043029.6,37276573.6,37276573.6,496479.06,292988.93,45954.29,1547596800.0
123,273,1680,5821,31294,249,38,16,2329,219,49977845.03,49977845.03,3191613.21,2043960.57,138230.38,950440.69,46949.42,1360281600.0
27,62,153,626,986648,106,3,19,137,134,49966959.33,49966959.33,12266908.84,7903868.17,1996711.24,2008878.39,57319.75,1471219200.0
30,107,279,2572,192602,145,14,125,811,218,49744386.71,49744386.71,12616567.09,2977109.33,147691.39,563436.24,43286.46,1546041600.0
