No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
895,AlexGyver/GyverLibs,https://github.com/AlexGyver/GyverLibs,9,53,202,442,22764,6,5,38,508,2,51892902.6,51892902.6,85648588.83,85648588.83,246138.52,140493.05,2376103.5,2/14/2018
896,Siv3D/OpenSiv3D,https://github.com/Siv3D/OpenSiv3D,69,43,145,1038,1816452,159,7,7,6524,102,51835633.86,51835633.86,12059158.37,3945876.91,11514.5,330319.16,68822.78,3/19/2016
897,topology-tool-kit/ttk,https://github.com/topology-tool-kit/ttk,57,26,125,430,65121,15,10,19,8282,72,51759776.1,51759776.1,22400020.13,22400020.13,99363.85,106331.99,103887.6944,3/5/2017
898,sfztools/sfizz,https://github.com/sfztools/sfizz,29,23,58,421,22608,53,15,14,4170,47,51739379.67,51739379.67,55778734.09,55778734.09,27151.27,238831.89,166350.383,7/29/2019
899,tidalcycles/Tidal,https://github.com/tidalcycles/Tidal,99,79,261,2313,14085,144,14,60,3014,130,51193474.5,51193474.5,33635098.83,7622774.63,246390.81,243679.14,69649.41,9/9/2010
900,valhalla/valhalla,https://github.com/valhalla/valhalla,224,105,699,4617,120331,727,70,57,14099,297,51019712.26,51019712.26,9223833.87,1328445.48,15527.74,217696.24,7174.89,1/19/2016
901,contour-terminal/contour,https://github.com/contour-terminal/contour,50,20,111,2513,22974,177,9,36,4816,250,50993651.0,50993651.0,24003916.82,2900655.5,17766.81,61017.58,13399.11,8/14/2019
902,BenLangmead/bowtie2,https://github.com/BenLangmead/bowtie2,38,32,161,688,154373,159,10,29,2636,57,50920603.1,50920603.1,16256380.08,18662307.75,90294.59,698015.66,136963.9474,12/20/2012
903,seq-lang/seq,https://github.com/seq-lang/seq,12,23,50,699,11050,19,3,23,2830,3,50913826.0,50913826.0,65247086.0,65247086.0,75226.57,399205.16,269313.6667,1/18/2018
904,felis/USB_Host_Shield_2.0,https://github.com/felis/USB_Host_Shield_2.0,58,122,786,1821,87374,249,10,1,1462,45,50607580.5,50607580.5,8176387.43,3468955.3,430445.45,1053085.48,154683.6667,6/22/2011
906,gnina/gnina,https://github.com/gnina/gnina,334,31,151,656,252044,60,1,7,6080,130,50502592.0,50502592.0,22519487.67,22519487.67,253211.34,641130.54,56701.94,11/4/2015
907,GrammaTech/ddisasm,https://github.com/GrammaTech/ddisasm,33,41,62,680,30418,26,2,3,6110,51,50452567.5,50452567.5,11410153.62,11410153.62,51496.29,96098.15,146571.6863,9/13/2018
911,paullouisageneau/libdatachannel,https://github.com/paullouisageneau/libdatachannel,88,44,376,1868,55113,94,5,38,3109,295,50123329.8,50123329.8,9450480.362,9450480.362,104497.5,197883.34,19256.3,7/26/2019
912,RobLoach/raylib-cpp,https://github.com/RobLoach/raylib-cpp,36,13,96,717,19412,20,5,31,611,152,50043029.6,50043029.6,37276573.6,37276573.6,496479.06,292988.93,45954.29,1/16/2019
914,openMVG/openMVG,https://github.com/openMVG/openMVG,123,273,1680,5821,31294,249,38,16,2329,219,49977845.03,49977845.03,3191613.21,2043960.57,138230.38,950440.69,46949.42,2/8/2013
915,GPUOpen-LibrariesAndSDKs/AMF,https://github.com/GPUOpen-LibrariesAndSDKs/AMF,27,62,153,626,986648,106,3,19,137,134,49966959.33,49966959.33,12266908.84,7903868.17,1996711.24,2008878.39,57319.75,8/15/2016
916,coronalabs/corona,https://github.com/coronalabs/corona,30,107,279,2572,192602,145,14,125,811,218,49744386.71,49744386.71,12616567.09,2977109.33,147691.39,563436.24,43286.46,12/29/2018
917,shader-slang/slang,https://github.com/shader-slang/slang,97,52,242,3504,52221,274,17,492,4249,276,49655120.76,49655120.76,27605125.35,444788.87,24102.72,26035.37,1291.91,6/9/2017
918,weidai11/cryptopp,https://github.com/weidai11/cryptopp,108,196,1521,4972,28432,52,11,16,6471,205,49485162.55,49485162.55,76813423.29,76813423.29,247458.36,449744.27,41588.7,6/3/2015
920,tidyverse/vroom,https://github.com/tidyverse/vroom,25,18,60,624,22349,67,3,22,1281,7,49031629.67,49031629.67,30741707.03,30741707.03,37339.46,725882.9,1053805.714,12/11/2018
921,exult/exult,https://github.com/exult/exult,45,36,80,528,55530,95,7,347,9114,289,48977794.0,48977794.0,30167266.42,30167266.42,61928.97,96775.77,7888.72,3/12/2016
922,WAVM/WAVM,https://github.com/WAVM/WAVM,23,74,226,2668,16121,89,5,108,2387,29,48872668.4,48872668.4,9551681.034,9551681.034,23705.41,726431.57,243221.6552,8/21/2015
923,esa/pagmo2,https://github.com/esa/pagmo2,60,35,163,847,61120,43,9,26,4635,30,48854494.0,48854494.0,26638606.81,26638606.81,133895.39,805010.71,246060.5,1/8/2017
924,Blizzard/s2client-api,https://github.com/Blizzard/s2client-api,35,104,281,1656,11577,100,10,1,199,3,48760649.7,48760649.7,3157933.3,3007997.59,71396.61,586727.45,2125597.667,7/10/2017
925,Bforartists/Bforartists,https://github.com/Bforartists/Bforartists,1231,29,76,592,2312863,57,1,64,152488,255,48754099.0,48754099.0,180738533.2,180738533.2,43172.63,7066.13,5770.14,8/26/2015
926,EOSIO/eosio.cdt,https://github.com/EOSIO/eosio.cdt,70,64,290,512,54546,64,22,25,2283,2,48654424.86,48654424.86,57228657.0,57228657.0,40927.52,29024.19,1141969.0,6/15/2018
929,p4lang/p4c,https://github.com/p4lang/p4c,168,67,447,715,206860,294,86,35,3681,267,48442694.63,48442694.63,12305925.91,2716532.89,21430.81,100235.69,6492.47,4/4/2016
930,brave/muon,https://github.com/brave/muon,525,73,109,969,42246,105,10,323,13149,2,48400941.7,48400941.7,3024893.33,3024893.33,17128.15,54495.33,2659382.5,11/29/2015
931,nmwsharp/polyscope,https://github.com/nmwsharp/polyscope,28,35,205,1865,25305,94,9,11,901,232,48292567.78,48292567.78,20563422.02,20563422.02,33184.88,389943.43,16780.36,11/21/2017
932,ossrs/srs,https://github.com/ossrs/srs,137,839,5429,26194,254241,200,44,66,8690,276,48280797.41,48280797.41,51317654.6,2771024.56,9788.31,388045.19,9178.85,4/29/2015
935,YACReader/yacreader,https://github.com/YACReader/yacreader,32,24,95,1022,51103,143,13,22,3402,141,48110612.69,48110612.69,11384680.43,10740950.91,209017.29,192515.43,44148.3,4/27/2018
936,tangrams/tangram-es,https://github.com/tangrams/tangram-es,37,72,240,830,40503,143,30,51,7080,13,48032177.03,48032177.03,8528190.64,6538892.32,24204.84,1059759.56,545341.1538,8/27/2014
